origin,destination,cost,lat_o,lon_o,lat_d,lon_d
0,43,0.8290552023040911,82.67555935698661,25.254937903264402,82.68278564087133,82.68278564087133
1,6,0.6549205264287524,82.81952548405287,25.199418464383243,82.82538934648296,82.82538934648296
1,9,0.5412453847467563,82.81952548405287,25.199418464383243,82.82426368521344,82.82426368521344
1,11,2.1298434817213723,82.81952548405287,25.199418464383243,82.80045391612548,82.80045391612548
1,12,0.28898768115226386,82.81952548405287,25.199418464383243,82.81704653713092,82.81704653713092
2,6,0.24109710369614532,82.82745695447717,25.1937799923718,82.82538934648296,82.82538934648296
2,8,0.46709478570690555,82.82745695447717,25.1937799923718,82.8232747102646,82.8232747102646
2,404,1.753832599133165,82.82745695447717,25.1937799923718,82.8431079875069,82.8431079875069
2,461,0.5750109478068373,82.82745695447717,25.1937799923718,82.83252647036639,82.83252647036639
3,5,0.6164774989273489,82.75246544060484,25.256123303803708,82.75798070450614,82.75798070450614
3,18,0.27244804473510836,82.75246544060484,25.256123303803708,82.75472317742795,82.75472317742795
3,23,0.8333974089647163,82.75246544060484,25.256123303803708,82.7450578905576,82.7450578905576
3,95,0.5931172195518591,82.75246544060484,25.256123303803708,82.74718983447457,82.74718983447457
3,138,0.08986315884321784,82.75246544060484,25.256123303803708,82.7529272985324,82.7529272985324
3,208,1.7545868520288384,82.75246544060484,25.256123303803708,82.76810184806942,82.76810184806942
4,7,0.43117946131067253,82.82568040089929,25.223468174993254,82.82184791782916,82.82184791782916
4,20,1.1557906893599357,82.82568040089929,25.223468174993254,82.81536588079129,82.81536588079129
4,406,1.6301970734390248,82.82568040089929,25.223468174993254,82.84026109342673,82.84026109342673
4,437,0.37859609168353153,82.82568040089929,25.223468174993254,82.8282260480901,82.8282260480901
4,445,0.8082549222116581,82.82568040089929,25.223468174993254,82.83290446757488,82.83290446757488
5,3,0.6164774989273489,82.75798070450614,25.25426689403156,82.75246544060484,82.75246544060484
5,18,0.37185671329225317,82.75798070450614,25.25426689403156,82.75472317742795,82.75472317742795
6,1,0.6549205264287524,82.82538934648296,25.19875348521463,82.81952548405287,82.81952548405287
6,2,0.24109710369614532,82.82538934648296,25.19875348521463,82.82745695447717,82.82745695447717
6,8,0.24454607700325412,82.82538934648296,25.19875348521463,82.8232747102646,82.8232747102646
6,9,0.17590118198963006,82.82538934648296,25.19875348521463,82.82426368521344,82.82426368521344
6,12,0.9345964298252498,82.82538934648296,25.19875348521463,82.81704653713092,82.81704653713092
6,431,0.49632771272725484,82.82538934648296,25.19875348521463,82.82981670025403,82.82981670025403
7,4,0.43117946131067253,82.82184791782916,25.227215539593548,82.82568040089929,82.82568040089929
7,19,0.754172559862839,82.82184791782916,25.227215539593548,82.81517681814744,82.81517681814744
7,437,0.7392463835634856,82.82184791782916,25.227215539593548,82.8282260480901,82.8282260480901
8,2,0.46709478570690555,82.8232747102646,25.19420110398277,82.82745695447717,82.82745695447717
8,6,0.24454607700325412,82.8232747102646,25.19420110398277,82.82538934648296,82.82538934648296
8,12,0.6956122869605593,82.8232747102646,25.19420110398277,82.81704653713092,82.81704653713092
8,16,0.666217604996257,82.8232747102646,25.19420110398277,82.81735239508215,82.81735239508215
9,1,0.5412453847467563,82.82426368521344,25.207573256664183,82.81952548405287,82.81952548405287
9,6,0.17590118198963006,82.82426368521344,25.207573256664183,82.82538934648296,82.82538934648296
9,11,2.6615357698979496,82.82426368521344,25.207573256664183,82.80045391612548,82.80045391612548
9,20,1.001754726373659,82.82426368521344,25.207573256664183,82.81536588079129,82.81536588079129
9,388,0.9188919004610153,82.82426368521344,25.207573256664183,82.83244849693745,82.83244849693745
9,431,0.6252341361259841,82.82426368521344,25.207573256664183,82.82981670025403,82.82981670025403
9,447,1.2872061414469904,82.82426368521344,25.207573256664183,82.83578986794825,82.83578986794825
9,457,1.1462338597711252,82.82426368521344,25.207573256664183,82.83451624348199,82.83451624348199
10,15,1.7457976865141418,82.79866541336021,25.257389933903355,82.78322498427546,82.78322498427546
10,21,1.885023115004262,82.79866541336021,25.257389933903355,82.78178950464569,82.78178950464569
10,67,1.0081643124799786,82.79866541336021,25.257389933903355,82.78974334227037,82.78974334227037
10,93,0.9861041151298301,82.79866541336021,25.257389933903355,82.80735337975071,82.80735337975071
10,113,0.20471079198601488,82.79866541336021,25.257389933903355,82.7970336484866,82.7970336484866
10,132,1.5411227727698709,82.79866541336021,25.257389933903355,82.78487436025245,82.78487436025245
10,193,1.042666919307077,82.79866541336021,25.257389933903355,82.78934130218772,82.78934130218772
10,205,1.86966020760146,82.79866541336021,25.257389933903355,82.81539777737217,82.81539777737217
11,1,2.1298434817213723,82.80045391612548,25.199240120824232,82.81952548405287,82.81952548405287
11,9,2.6615357698979496,82.80045391612548,25.199240120824232,82.82426368521344,82.82426368521344
11,12,1.8547510938885525,82.80045391612548,25.199240120824232,82.81704653713092,82.81704653713092
11,17,0.8819908773389428,82.80045391612548,25.199240120824232,82.80826584953608,82.80826584953608
11,22,0.3637770302419838,82.80045391612548,25.199240120824232,82.80251084238058,82.80251084238058
12,1,0.28898768115226386,82.81704653713092,25.19348074871922,82.81952548405287,82.81952548405287
12,6,0.9345964298252498,82.81704653713092,25.19348074871922,82.82538934648296,82.82538934648296
12,8,0.6956122869605593,82.81704653713092,25.19348074871922,82.8232747102646,82.8232747102646
12,11,1.8547510938885525,82.81704653713092,25.19348074871922,82.80045391612548,82.80045391612548
12,16,0.0779735197991532,82.81704653713092,25.19348074871922,82.81735239508215,82.81735239508215
